decimalLongitude,decimalLatitude,year,biomex_bio_01,biomex_bio_02,biomex_bio_03,biomex_bio_04,biomex_bio_05,biomex_bio_06,biomex_bio_07,biomex_bio_08,biomex_bio_09,biomex_bio_10,biomex_bio_11,biomex_bio_12,biomex_bio_13,biomex_bio_14,biomex_bio_15,biomex_bio_16,biomex_bio_17,biomex_bio_18,biomex_bio_19
-97.0536687136808,18.3020694122765,1996,134.838714599609,90.0322570800781,56.4854850769043,1973.87097167969,210.32258605957,50.7096786499024,159.612899780273,148.83332824707,120.822578430176,153.827102661133,107.451614379883,1834.90319824219,445.161285400391,17,0.943225800991058,1029.70971679688,87.4193572998047,662.258056640625,136.548385620117
-97.391667,18.658333,1988,156.032257080078,94.2903213500977,57.5425796508789,1950.64514160156,234.096771240234,70,164.096771240234,170.091400146484,138.811828613281,175.349349975586,129.290328979492,557.322570800781,132.870971679688,3.22580647468567,0.930967748165131,298.903228759766,20.2258071899414,209.67741394043,26.1290321350098
-97.041667,19.608333,1991,132.32258605957,72.129035949707,51.8006439208984,2203.77416992188,194.580642700195,55.0645179748535,139.516128540039,150.440856933594,112.424728393555,153.742584228516,102.129035949707,1629.12902832031,334.967742919922,24.6129035949707,0.729354858398438,758.225830078125,138.290328979492,599.258056640625,179.935485839844
-97.486,19.493,1995,134.451614379883,88.0322570800781,55.6780624389648,2131.48388671875,206.903228759766,48.6129035949707,158.290328979492,151.956985473633,112.048385620117,155.33805847168,105.096771240234,639.967712402344,138.483871459961,6.4193549156189,0.804838716983795,316.838714599609,34.9032249450684,267.741943359375,41.8064498901367
-97.33723,18.7081,1977,143.806457519531,93.2903213500977,57.3670959472656,1973.83874511719,220.806457519531,57.9677429199219,162.838714599609,158.290328979492,126.811828613281,163.080963134766,116.516128540039,1005.77416992188,238.548385620117,6.4193549156189,0.944193542003632,547.677429199219,37.7096786499023,376.032257080078,51.9032249450684
-97.041667,19.625,1972,133.32258605957,71.4193572998047,51.2670974731445,2229.22583007813,195.612899780273,56.0322570800781,139.580642700195,151.763442993164,112.951614379883,154.988708496094,103.032257080078,1656.12902832031,337.129028320313,25.2580642700195,0.720645189285278,766,141.354843139648,614.354858398438,184.225799560547
-97.308333,18.725,1988,173.096771240234,92.4516143798828,56.4329032897949,2026.93542480469,251.096771240234,87.0322570800781,164.064514160156,187.564514160156,156.204299926758,193.10774230957,145.32258605957,891.129028320313,209.419357299805,6.38709688186646,0.932580649852753,488.064514160156,36.9032249450684,323.548400878906,51.0645179748535
-97.341667,18.708333,1973,153.838714599609,93.1935501098633,57.1632270812988,1980.80639648438,231.258071899414,68,163.258071899414,168.220428466797,137.075271606445,173.392578125,126.516128540039,1003.74194335938,237.32258605957,6.67741918563843,0.939999997615814,545.935485839844,39,370.322570800781,52.677417755127
-97.340556,18.690556,1976,138.774200439453,93.0645141601562,57.2435493469238,1977.29028320313,215.774200439453,52.9677429199219,162.806457519531,153.451614379883,121.817207336426,158.165802001953,111.645164489746,969.612915039063,231.096771240234,5.80645179748535,0.951612889766693,529.612915039063,34.5161285400391,375.612915039063,48.4193534851074
-97.336111,18.7175,1998,147.419357299805,93.0322570800781,57.3190307617188,1979.93542480469,224.32258605957,61.8064498901367,162.516128540039,161.930114746094,130.435485839844,166.687423706055,120.129035949707,1011.70965576172,238.483871459961,6.87096786499023,0.932580649852753,549.419372558594,40.3870964050293,378.967742919922,54.6129035949707
-96.999722,18.158333,1993,140.580642700195,90.129035949707,56.558708190918,1954.87097167969,216.354843139648,56.7741928100586,159.580642700195,153.741928100586,128.892471313477,159.666458129883,113.516128540039,1954.32263183594,478.419342041016,19.2258071899414,0.941290318965912,1088.58068847656,96.7096786499024,645.225830078125,151.580642700195
-98.03,19.84,1980,140.806457519531,93.9032287597656,55.5,2211.48388671875,218.612899780273,49.2258071899414,169.387100219727,157.032257080078,119.91397857666,162.903549194336,110.580642700195,841.225830078125,188.806457519531,5.51612901687622,0.867419362068176,430.032257080078,35.8387107849121,311.741943359375,48.0967750549316
-97.031667,19.615,1982,133.935485839844,72.129035949707,51.7480659484863,2218.77416992188,196.580642700195,56.9354820251465,139.645156860352,152.306457519531,114.037635803223,155.586135864258,103.774192810059,1644.0322265625,338.322570800781,24.9354839324951,0.730322599411011,765.548400878906,139.580642700195,605.290344238281,182
-97.3439477978662,18.6831584458192,1981,142.67741394043,93.3225784301758,57.3274192810059,1967.93542480469,219.774200439453,56.7741928100586,163,156.715057373047,125.661293029785,161.823226928711,115.483871459961,828.870971679688,198.451614379883,5,0.951612889766693,450.096771240234,29.2580642700195,307.161285400391,40.3870964050293
-97.345278,18.711111,1974,142.838714599609,93.0967712402344,57.2503242492676,1982.9677734375,219.838714599609,57,162.838714599609,157.489242553711,125.822578430176,162.321929931641,115.580642700195,1006.96771240234,237.870971679688,6.54838705062866,0.936129033565521,545.838684082031,38.8064498901367,392.967742919922,52.4838714599609
-97.338056,18.699722,1973,141.193542480469,92.870964050293,57.4025802612305,1971.16125488281,217.774200439453,55.7741928100586,162,155.774200439453,124.155914306641,160.371292114258,114.129035949707,998.612915039062,237.483871459961,6.25806474685669,0.9477419257164,544.451599121094,36.7096786499023,397.516143798828,51.0967750549316
-97.103355637267,18.8506512242782,1998,196.774200439453,87.5483856201172,54.7596778869629,2113.80639648438,272.129028320313,112.032257080078,160.096771240234,211.817199707031,178.715057373047,217.424835205078,167.645156860352,1356.09680175781,308.032257080078,14.6774196624756,0.877419352531433,729.870971679688,78.1612930297852,470.967742919922,100.612899780273
-97.3333886042029,18.7006576475711,1971,150.967742919922,92.870964050293,57.1338691711426,1984.67736816406,227.806457519531,65.0322570800781,162.774200439453,165.473114013672,133.951614379883,170.39289855957,123.612899780273,980.935485839844,232.354843139648,6.38709688186646,0.944193542003632,534.806457519531,37,363.903228759766,51.1935501098633
-97.3300584610309,18.6806586048673,1976,136.67741394043,93.3225784301758,57.6238708496094,1968.83874511719,212.935485839844,50.7741928100586,162.161285400391,150.67204284668,119.483871459961,155.801284790039,109.548385620117,956.064514160156,228.129028320313,5.87096786499023,0.953870952129364,521.064514160156,34.1935501098633,379.451599121094,48.5806465148926
-97.2800573415369,18.7006578033034,1970,162.451614379883,92.0645141601562,56.6712913513184,2009.83874511719,239.67741394043,77,162.67741394043,176.016128540039,145.397842407227,182.118057250977,134.67741394043,956.580627441406,224.258071899414,6.74193525314331,0.926129043102264,513.806457519531,38.5161285400391,333.677429199219,54.9677429199219
-97.0333845685028,19.6506139633374,1972,141.129028320313,70.5806427001953,50.9845161437988,2235.58056640625,203,64.2903213500977,138.709671020508,159.704299926758,119.629035949707,162.951934814453,110.74193572998,1586.38708496094,320.225799560547,24.2580642700195,0.717741906642914,742.193542480469,135.064514160156,604.709655761719,171.967742919922
